batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
1,Strengthen export controls on AI hardware and model weights,Anthropic,Frontier Developer,9.325,10.0,9.5,9.0,8.5,"Directly addresses IAPS's core focus on compute governance and export controls. Concrete, actionable recommendations for strengthening export controls on AI hardware and model weights, with clear evidence of efficacy and real-world precedent. Politically viable within current national security frameworks.",4278
2,Early Warning System for AI-Powered Threats,Federation of American Scientists,Think Tank,8.825,9.5,9.0,8.5,8.0,"Establishing an early warning system for dual-use AI threats is highly aligned with IAPS's focus on national security and AI risk governance. Proposal is specific, references policy precedents, and is actionable within existing agency structures.",4006
3,Improve security of U.S. frontier AI laboratories,Anthropic,Frontier Developer,8.7,9.5,9.0,8.0,8.0,"Addresses a real and underappreciated threat: theft of frontier AI models undermining export controls. Specific recommendations for physical and cyber security at AI labs, with clear implementation path and strong alignment to IAPS priorities.",4739
4,Modified Export Control Strategy for Democratic AI,OpenAI,Frontier Developer,8.325,9.0,8.5,8.0,7.5,"Proposes a nuanced export control strategy that advances U.S. AI leadership and aligns with IAPS's international governance focus. Specific, actionable, and considers global political realities.",4205
5,Assess Foreign AI Models for Security Risks,Information Technology Industry Council,Industry Association,8.325,9.0,8.5,8.0,7.5,"Concrete, actionable recommendation for CISA and the AI Safety Institute to assess foreign AI models for security risks. Directly supports IAPS's dual-use risk and national security priorities.",4533
6,Partner with companies to share threat intelligence,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.0,8.0,7.5,"Specific, actionable proposal for government-company threat intelligence sharing, including clear agency roles. Strong evidence base and high relevance to IAPS's focus on AI security and information sharing.",4280
7,Fund research on AI evaluation science,Center for Security and Emerging Technology,Think Tank,7.825,8.5,8.0,7.5,7.0,"Concrete recommendation for federal research funding into AI evaluation science, especially for agentic systems. Directly advances IAPS's research priorities with clear implementation path.",4141
8,National AI Cyber Shield,Alvarez & Marshall Federal LLC,Industry (Other),7.825,8.5,8.0,7.5,7.0,"Specific, actionable plan for a National AI Cyber Shield, including agency leadership, operational details, and incentives. Strong alignment with IAPS's national security and AI governance focus.",3992
9,Safe Harbor for AI Researchers,Federation of American Scientists,Think Tank,7.675000000000001,8.0,8.0,7.5,7.0,Addresses a real gap in legal protection for independent AI safety research. Specific recommendations for OMB guidance and procurement requirements. Strong evidence base and actionable within current frameworks.,4630
10,Empower NIST to develop voluntary AI standards and certification programs,Bipartisan Policy Center,Think Tank,7.550000000000001,8.0,8.0,7.0,7.0,"Empowering NIST to develop voluntary AI standards and certification is specific, actionable, and aligns with IAPS's focus on standards and governance. Realistic within current agency authorities.",4252
11,Share AI intelligence with allies,Center for Security and Emerging Technology,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,Concrete recommendation for allied intelligence sharing on AI capabilities. Directly supports IAPS's international governance and information sharing priorities.,4467
12,Improve AI Security Techniques,Information Technology Industry Council,Industry Association,7.275,7.5,7.5,7.0,7.0,"Specific recommendations for secure-by-design AI, cryptography, and threat detection. While somewhat industry-driven, aligns with IAPS's AI security priorities and is actionable.",3847
13,Streamline AI Procurement for Government Use,Federation of American Scientists,Think Tank,7.275,7.5,7.5,7.0,7.0,"Concrete, actionable recommendation for a GSA-led digital platform to streamline AI procurement. Addresses real government implementation gap and supports IAPS's governance focus.",4707
14,Catalyze Federal Data Sharing through Privacy Enhancing Technologies,Federation of American Scientists,Think Tank,7.15,7.5,7.0,7.0,7.0,"Specific proposal for PETs adoption in federal data sharing, with clear agency roles and reporting mechanisms. Supports IAPS's interest in secure data governance.",3893
15,National Initiative for AI Explainability,Federation of American Scientists,Think Tank,7.05,7.5,7.0,7.0,6.5,National initiative for AI explainability is well-aligned with IAPS's focus on AI assurance and transparency. Cites DARPA precedent and proposes concrete public-private partnership.,4683
16,Promote rapid AI procurement across the federal government,Anthropic,Frontier Developer,6.925,7.5,7.0,6.5,6.5,"Ambitious but actionable proposal for rapid, systematic AI adoption in government operations. Addresses real productivity and implementation gaps, though feasibility at scale is challenging.",4720
17,Enhance U.S. national security through targeted AI talent recruitment,Center for Security and Emerging Technology,Think Tank,7.05,7.5,7.0,7.0,6.5,"Targeted AI talent recruitment for national security is specific, evidence-based, and directly advances IAPS's focus on U.S. competitiveness and security.",4029
18,Improve security of U.S. frontier AI laboratories,Anthropic,Frontier Developer,6.925,7.5,7.0,6.5,6.5,Duplicate of earlier ranking; see above.,4739
