overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
1,1,Assess and monitor export controls for effectiveness,Center for Security and Emerging Technology,Think Tank,9.45,10.0,9.5,9.5,8.5,"Highly aligned with IAPS priorities on export controls and evidence-based policy. Calls for scenario planning, monitoring, and post-implementation assessment—concrete, actionable, and grounded in real-world constraints. Directly addresses national security and compute governance.",1477
2,1,Build federal capacity to test and evaluate AI models for national security,Anthropic,Frontier Developer,9.075,10.0,9.0,8.5,8.5,"Directly addresses IAPS priorities (national security, model evaluation, risk mitigation). Proposes concrete infrastructure for rapid AI model assessment, with clear implementation path and measurable objectives. Evidence-based, anticipates rapid model advances, and is politically viable within existing agency authorities.",2645
3,2,Empower U.S. AI Safety Institute for evaluation science,Center for Security and Emerging Technology,Think Tank,8.825,9.5,9.0,8.5,8.0,"Directly advances IAPS focus on AI safety institutes and evaluation science. Proposes specific benchmarks and government-industry collaboration, with clear implementation path and recent precedent.",1669
4,2,AI Model Integrity Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.7,9.5,9.0,8.0,8.0,"Highly aligned with IAPS focus on AI model security and standards. Proposes actionable steps (model registry, cryptographic verification, NIST leadership). Evidence-based, references real security risks. Implementation is feasible via NIST and regulatory agencies.",2077
5,3,Implement Risk-Based AI Export Controls,Information Technology Industry Council,Industry Association,8.424999999999999,9.0,8.5,8.0,8.0,"Concrete, risk-based export control proposal, highly relevant to IAPS compute governance and national security. Specific focus on model weights and compute power, with awareness of international competitiveness.",1204
6,4,Track technology transfers to China,Center for Security and Emerging Technology,Think Tank,8.325,9.0,8.5,8.0,7.5,"Directly targets tech transfer to China, a core IAPS concern. Proposes a new office/task force with practical recommendations—actionable and fills a real gap.",1989
7,3,AI Model Security Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.325,9.0,8.5,8.0,7.5,"Strong alignment with IAPS's AI security and governance priorities. Proposes specific standards, national lab, and review processes. Implementation path is clear (NIST, certification). Evidence-based, addresses real vulnerabilities.",2850
8,1,Bio Capability Evaluations Program for AI-Driven Biological Threats,Federation of American Scientists,Think Tank,8.299999999999999,9.0,8.5,7.5,8.0,"Highly specific, actionable recommendation to establish a bio capability evaluations program for AI-driven biological threats. Directly addresses dual-use AI risks and national security, a core IAPS concern. Cites existing agency work and proposes interagency coordination with funding. Politically viable and fills a real policy gap.",2
9,5,Establish industry-specific AI incident reporting,Center for Security and Emerging Technology,Think Tank,8.275,8.5,8.5,8.0,8.0,"Concrete, sector-specific incident reporting for AI, with clear agency roles and investigative authority. Strong alignment with IAPS focus on governance mechanisms and risk management.",1502
10,2,Adversarial AI Research Program,Alvarez & Marshall Federal LLC,Industry (Other),8.2,9.0,8.0,8.0,7.5,"Concrete proposal for adversarial AI research, national red teaming, and standardized testing. Directly advances IAPS priorities on AI security and governance. Specifies agencies, funding, and implementation. Supported by real-world need and feasible within current structures.",439
11,4,AI Supply Chain Security,Alvarez & Marshall Federal LLC,Industry (Other),8.075,9.0,8.0,7.5,7.5,"Directly addresses AI supply chain security, a key IAPS concern. Proposes concrete frameworks (lifecycle, provenance tracking, trusted vendor program). CISA/NIST involvement is realistic. Evidence-based, addresses real-world threats.",2282
12,5,Federal AI Compute Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.075,9.0,8.0,7.5,7.5,"Concrete, actionable proposal for federated AI compute infrastructure, directly advancing IAPS compute governance priorities. Clear implementation via NSF/DOE/DoD. Evidence-based, addresses national priorities.",2421
13,3,Implement AI testing requirements for government procurement,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.5,7.5,7.5,"Specific, actionable recommendation for AI testing in government procurement. Aligns with IAPS focus on standards, risk evaluation, and governance. Feasible, leverages procurement authority, and addresses a real oversight gap.",369
14,6,Deploy appropriate model safeguards for biosecurity,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.0,8.0,7.5,"Proposes a suite of model safeguards for biosecurity, referencing CSET research and specific mechanisms. Actionable and directly addresses dual-use AI risk.",1636
15,7,Cooperate with allies on export control strategy,Center for Security and Emerging Technology,Think Tank,7.95,8.5,8.0,8.0,7.0,"Directly advances IAPS's international coordination and export control priorities. Specific recommendations (joint strategy, communication, avoid FDPR overuse). Evidence-based, realistic about multilateral constraints.",2754
16,7,Identify Critical AI Technologies for Export Control,"Advanced Robotics for Manufacturing
  Institute",Think Tank,7.925,8.5,8.0,7.5,7.5,"Directly addresses export controls and national security, with a concrete call to identify critical AI technologies. Implementation path is clear and highly relevant.",2005
17,4,Lead International AI Safety Institute Network,Information Technology Industry Council,Industry Association,7.824999999999999,9.0,7.5,7.0,7.5,Directly targets IAPS priority of international AI safety institute coordination. Specific recommendation to retain US leadership in the global AI safety network. Actionable and timely given current international efforts.,538
18,8,Establish whistleblower protections for AI company employees,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Whistleblower protections for AI company employees is actionable, addresses real gaps in governance, and supports accountability in high-risk AI development.",1602
19,9,Empower OSD to set AI security standards for military,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Empowering OSD to set AI security standards is a concrete, actionable step to reduce duplication and improve security. Directly relevant to IAPS's focus on national security AI governance.",1269
20,5,Support AI and Computing at DOE,Federation of American Scientists,Think Tank,7.7,8.5,7.5,7.5,7.0,"Proposes a dedicated AI and Computing Lab at DOE, advancing IAPS's focus on compute governance and national security. Clear implementation path, leverages existing DOE strengths, and addresses strategic needs.",1027
21,6,AI Compute Access Program,Alvarez & Marshall Federal LLC,Industry (Other),7.7,8.5,8.0,7.0,7.0,"Democratizing compute access is a core IAPS concern. Proposes specific mechanisms (credit system, merit-based applications, public-private partnerships). Implementation path is clear (NSF). Evidence-based, addresses real gaps.",2238
22,8,Calibrate AI Export Controls,Wahba Institute for Strategic Competition,Think Tank,7.7,8.5,7.5,7.5,7.0,"Addresses IAPS's focus on calibrated export controls and international strategy. Proposes balancing security and competitiveness, with concrete mechanisms. Evidence-based, politically realistic.",2763
23,10,Implement Strategic Export Control Measures for AI,"CGI Federal, Inc.",Industry (Other),7.65,8.0,8.0,7.0,7.5,"Robust export licensing system for AI tech is highly aligned with IAPS's export control priorities. Proposes monitoring and enforcement mechanisms, though details could be stronger.",1905
24,11,Build an integrated biosecurity ecosystem,Center for Security and Emerging Technology,Think Tank,7.65,8.0,7.5,7.5,7.5,Integrating AI into biosecurity ecosystem is evidence-based and recognizes real-world limitations of AI-only controls. Actionable and fills a governance gap.,1526
25,6,Expand the National AI Research Resource,Federation of American Scientists,Think Tank,7.575,8.5,7.5,7.0,7.0,"Expanding NAIRR is highly aligned with IAPS's compute access and research resource priorities. Concrete, actionable, and addresses a documented gap. Politically feasible with bipartisan support.",378
26,10,Strengthen the Role of the US AI Safety Institute,Wahba Institute for Strategic Competition,Think Tank,7.575,8.5,7.5,7.0,7.0,"Strengthening AISI is directly in line with IAPS's AI safety institute priorities. Proposes independent risk assessments, public-private coordination. Implementation is feasible via NIST.",2385
27,12,Expand open-source intelligence gathering on AI,Center for Security and Emerging Technology,Think Tank,7.550000000000001,8.0,7.5,7.5,7.0,"Expanding OSINT on AI is a concrete, underdeveloped area in government. Actionable, fills a real intelligence gap, and supports IAPS's evidence-based approach.",1639
28,7,National AI Compute Infrastructure Initiative,Alvarez & Marshall Federal LLC,Industry (Other),7.45,8.5,7.0,7.0,7.0,"Comprehensive proposal for domestic AI compute infrastructure, including funding, tax incentives, and strategic zones. Directly advances IAPS compute governance priorities. Specific mechanisms, though implementation complexity is high.",716
29,13,National AI Security Framework,Alvarez & Marshall Federal LLC,Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"Comprehensive AI security framework for critical infrastructure is highly aligned with IAPS priorities. Concrete phased implementation, though some elements may face political resistance.",1755
30,14,Define Global AI Safety Standards,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Defines US-led global AI safety standards, leveraging existing initiatives (AISIC, INASI). Actionable, aligns with IAPS's international governance focus.",1465
31,9,Develop a Balanced Approach to Export Controls,"CGI Federal, Inc.",Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"Export controls are a core IAPS concern. Proposes balanced, actionable approach with international collaboration. Somewhat general but implementation path is plausible.",2627
32,11,Establish Government Authority to Temporarily Suspend Unsafe AI Systems,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Concrete, actionable mechanism for government intervention in unsafe AI systems. Directly addresses IAPS's national security and governance priorities. Implementation is plausible (modeled on NHTSA recalls).",2219
33,8,Encourage risk-based governance practices in the private sector,Amazon,Frontier Developer,7.300000000000001,8.0,7.0,7.0,7.0,"Encourages risk-based governance and public-private collaboration for advanced AI model evaluation. Aligns with IAPS's focus on dual-use risk and governance. Specific, actionable, and feasible.",400
34,12,Develop standardized metrics for data centers,Bipartisan Policy Center,Think Tank,7.275,7.5,7.5,7.0,7.0,"Standardized metrics for data center efficiency are actionable, measurable, and support IAPS's compute governance focus. Leverages NIST and DOE, with clear implementation path.",54
35,12,Create standard pathways to contest AI results,Center for Security and Emerging Technology,Think Tank,7.275,7.5,7.5,7.0,7.0,"Specific, actionable proposal for contesting AI decisions, which supports AI governance and accountability. Implementation path is plausible, evidence-based (citizen reporting as error detection).",2017
36,13,Synchronize baseline AI standards across federal agencies,Center for Security and Emerging Technology,Think Tank,7.275,7.5,7.5,7.0,7.0,Synchronizing AI standards across agencies is highly actionable and addresses real regulatory fragmentation. Directly advances IAPS's governance and standards priorities.,2493
37,9,Enhance AI Model Security & Oversight,Wahba Institute for Strategic Competition,Think Tank,7.2,8.0,7.0,7.0,6.5,"Addresses open/closed model security, proposes concrete safeguards and restrictions for national security. Highly relevant to IAPS's dual-use and governance focus. Somewhat less clear on implementation, but strong alignment.",889
38,14,Sovereign AI Model Development,Alvarez & Marshall Federal LLC,Industry (Other),7.2,8.0,7.0,7.0,6.5,"Sovereign AI model development is highly aligned with IAPS's national security and governance priorities. Proposes specific mechanisms (consortium, secure testing). Implementation is plausible but requires coordination.",2578
39,10,Maintain AI Infrastructure Sovereignty,Wahba Institute for Strategic Competition,Think Tank,7.175000000000001,8.0,7.0,6.5,7.0,"Focuses on domestic AI infrastructure sovereignty and public-private partnerships, a core IAPS concern. Specific mechanisms for compute and data access. Politically viable and addresses a real gap.",863
40,11,Prioritize Incentives for AI Chips Manufacturing and Design,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,"Prioritizes domestic AI chip manufacturing and design, directly supporting IAPS's compute governance and national security priorities. Specific incentives and policy mechanisms.",438
41,13,Codify the National AI Research Resource,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,Codifying NAIRR advances IAPS's compute governance and research access priorities. Specific legislative recommendation with bipartisan support.,1061
42,15,Incentivize multiple approaches to frontier AI research,Center for Security and Emerging Technology,Think Tank,7.15,7.5,7.0,7.0,7.0,"Incentivizing alternative approaches to frontier AI research is specific, evidence-based, and addresses US-China competition. Implementation path is plausible.",1355
43,16,Federal AI Center of Excellence for State and Local Governments,Federation of American Scientists,Think Tank,7.15,7.5,7.0,7.0,7.0,"Federal AI Center of Excellence for SLTT governments is actionable, addresses a real gap in AI governance capacity, and is politically feasible.",1070
44,17,National AI Testbed Network,Alvarez & Marshall Federal LLC,Industry (Other),7.05,7.5,7.0,7.0,6.5,"National AI Testbed Network is concrete, with sector-specific sandboxes and regulatory safe harbors. Implementation is ambitious but plausible.",1162
45,15,National Digital Content Authentication Technologies Research Ecosystem,Federation of American Scientists,Think Tank,7.05,7.5,7.0,7.0,6.5,"Addresses real risks from synthetic content. Proposes concrete research ecosystem, national database, and prize competitions. Implementation via NIST is feasible.",2280
46,16,Secure Third Party Commercial Data for AI through FedRAMP Authorization,Federation of American Scientists,Think Tank,7.05,7.5,7.0,7.0,6.5,"Securing third-party data for AI is a concrete, actionable proposal with clear implementation path (FedRAMP/OMB). Addresses real national security risks.",2853
47,17,Prioritize adoption of domestic AI models for national security,Microsoft,Frontier Developer,7.05,7.5,7.0,7.0,6.5,Prioritizing domestic AI models for defense is highly aligned with IAPS's national security focus. Implementation is plausible via existing classified cloud infrastructure.,2259
48,18,Support existing DOE programs that are training the national AI workforce,Bipartisan Policy Center,Think Tank,7.0,7.0,7.0,7.0,7.0,"Supports existing DOE AI workforce programs—concrete, evidence-based, and politically viable. Directly advances national competitiveness.",1634
49,14,AI-Driven Critical Infrastructure Protection,Alvarez & Marshall Federal LLC,Industry (Other),6.925,7.5,7.0,6.5,6.5,"AI-driven critical infrastructure protection is highly relevant to IAPS's national security focus. Specific recommendations for anomaly detection, predictive maintenance, and autonomous restoration. Implementation is complex but feasible.",844
50,15,Modernize Department of Defense AI Policies,Wahba Institute for Strategic Competition,Think Tank,6.925,7.5,7.0,6.5,6.5,"Modernizing DoD AI policies for human oversight and escalation control aligns with IAPS's national security and governance priorities. Specific recommendations for modeling, simulation, and oversight.",475
51,19,AI-Ready Collaborative Datasets for Life Sciences,Federation of American Scientists,Think Tank,6.8999999999999995,7.0,7.0,7.0,6.5,"Government-funded collaborative datasets for life sciences is actionable, addresses a real bottleneck, and could be extended to other sectors.",1842
52,16,Promote open AI models,Center for Security and Emerging Technology,Think Tank,6.8,7.5,6.5,6.5,6.5,"Supports open AI models with clear risk thresholds, balancing innovation and security. Aligns with IAPS's nuanced approach to open/closed models and dual-use risk.",657
53,17,Invest in AI Hardware Development,"CGI Federal, Inc.",Industry (Other),6.8,7.5,6.5,6.5,6.5,"Investing in AI hardware and chip manufacturing is core to IAPS's compute governance and national security priorities. Specific mechanisms (consortium, incentives) are actionable.",505
54,18,National AI Compute Infrastructure Initiative,Alvarez & Marshall Federal LLC,Industry (Other),6.8,7.5,6.5,6.5,6.5,National AI compute infrastructure proposal is comprehensive and directly aligned with IAPS's strategic priorities. Implementation complexity is high but mechanisms are concrete.,716
55,20,National Security AI Entrepreneur Visa,Federation of American Scientists,Think Tank,6.7749999999999995,7.0,7.0,6.5,6.5,"National Security AI Entrepreneur Visa is specific, actionable, and addresses a real talent gap in dual-use AI. Political feasibility is moderate.",1751
56,18,Develop Secure AI Models for National Security,HPE,Industry (Other),6.7749999999999995,7.0,7.0,6.5,6.5,"Developing secure AI models for national security is aligned with IAPS priorities. Somewhat general, but actionable and feasible within defense agencies.",2172
57,19,Develop AI-Enhanced Warfighter Design and Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.7749999999999995,7.0,7.0,6.5,6.5,"Investment in AI-enabled warfighter design is aligned with IAPS's national security and innovation priorities. Actionable, with clear R&D/testing path.",2703
58,20,Create National AI and Digital Integration Plan for Defense,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.7749999999999995,7.0,7.0,6.5,6.5,"National AI and digital integration plan for defense is well-aligned with IAPS's strategic interests. Actionable, though somewhat high-level.",2595
59,20,Data-Sharing Standards for AI in Healthcare,Federation of American Scientists,Think Tank,6.675,7.0,7.0,6.5,6.0,"Data-sharing standards for AI in healthcare are actionable, evidence-based, and leverage NIST. Aligns with IAPS's standards and governance focus.",278
60,19,Adopt balanced export control policies,Google,Frontier Developer,6.6499999999999995,7.0,6.5,6.5,6.5,"Balanced export control policies are a core IAPS concern. While the proposal is somewhat self-serving, it acknowledges national security and economic competitiveness tradeoffs and calls for detailed analysis.",326
61,21,Establish a National AI Governance Body,"CGI Federal, Inc.",Industry (Other),6.6499999999999995,7.0,6.5,6.5,6.5,"National AI governance body is aligned with IAPS's governance focus. Somewhat vague on operational details, but the core is actionable.",1593
62,22,Reform AI Procurement to Include Smaller Vendors,INCOMPAS,Industry Association,6.6499999999999995,7.0,6.5,6.5,6.5,Procurement reform for smaller AI vendors is actionable and addresses a real market failure. Implementation is plausible.,1924
63,23,Centralize DOE AI strategy and execution,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Centralizing DOE AI strategy is actionable, avoids duplication, and is politically feasible. Directly relevant to national security and governance.",1603
64,24,Advance AI chip technology and data center efficiency,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Directs DOE to advance AI chip and data center efficiency. Actionable, relevant to compute governance and infrastructure.",1860
65,25,Promote AI-enhanced scientific progress with focus on AIxBio,Center for Security and Emerging Technology,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"AIxBio proposal is specific, actionable, and addresses a real competitive battleground. Implementation path is plausible.",1631
66,21,Ensure AI Innovation Aligns with National Security,Wahba Institute for Strategic Competition,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Ensuring AI innovation aligns with national security is highly relevant. Somewhat general, but actionable through partnership vetting.",2589
67,22,Invest in AI Research and Development for Defense Applications,"CGI Federal, Inc.",Industry (Other),6.6499999999999995,7.0,6.5,6.5,6.5,"Investing in AI R&D for defense is aligned with IAPS priorities. Includes actionable elements (autonomous systems, cybersecurity), though ethical guidelines are vague.",2093
68,23,Streamline key infrastructure buildout support for AI Energy Zones,Bipartisan Policy Center,Think Tank,6.625,6.5,7.0,6.5,6.5,Streamlining infrastructure buildout for AI energy zones is actionable and addresses real constraints. Aligned with IAPS's focus on compute infrastructure.,2250
69,26,Secure AI Supply Chain,Wahba Institute for Strategic Competition,Think Tank,6.55,7.0,6.5,6.5,6.0,"Securing AI supply chain is highly relevant, though details are somewhat generic. Actionable and aligned with national security.",1795
70,27,National AI Research Infrastructure,Alvarez & Marshall Federal LLC,Industry (Other),6.55,7.0,6.5,6.5,6.0,"National AI Research Infrastructure with compute consortium is actionable, addresses a real bottleneck, and is aligned with IAPS compute governance.",1114
71,21,Engage in international AI governance efforts,Microsoft,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Engagement in international AI governance (e.g., G7 Hiroshima Process) is directly relevant to IAPS's international coordination focus. Actionable, but somewhat generic.",359
72,22,Promote low-carbon power procurement for data centers,Bipartisan Policy Center,Think Tank,6.5249999999999995,7.0,6.5,6.0,6.5,"Promoting low-carbon power procurement for data centers is specific, actionable, and supports AI infrastructure resilience—a secondary IAPS concern.",551
73,23,Enable AI to bolster national security and defense,Amazon,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Enabling AI for national security and defense is highly aligned with IAPS priorities, but the proposal is partly self-serving (Amazon cloud). Still, it is specific and actionable.",412
74,24,Attract and retain foreign-born AI talent,Bipartisan Policy Center,Think Tank,6.5249999999999995,7.0,6.5,6.0,6.5,Attracting and retaining foreign-born AI talent is critical for US competitiveness and aligns with IAPS's strategic focus. Specific mechanism (Schedule A update) is actionable.,495
75,24,Support long-term AI R&D programs that fill private sector gaps,Bipartisan Policy Center,Think Tank,6.5,6.5,6.5,6.5,6.5,"Long-term AI R&D for public sector gaps is aligned with IAPS's innovation and competitiveness priorities. Actionable, though somewhat general.",2079
76,28,Increase AI R&D spending,Microsoft,Frontier Developer,6.3999999999999995,7.0,6.0,6.0,6.5,"Increase AI R&D spending is specific, actionable, and politically viable, though lacks detailed implementation mechanisms.",1788
77,25,Advance AI applications under DOE's broad mission space,Bipartisan Policy Center,Think Tank,6.3,7.0,6.0,6.0,6.0,Advancing AI applications under DOE's mission is aligned with IAPS's focus on public-sector AI and national security. Somewhat broad but leverages DOE's unique capabilities.,1047
78,29,Reform Immigration Policies for AI Talent,INCOMPAS,Industry Association,6.25,6.5,6.0,6.0,6.5,"Targeted immigration reform for AI talent is actionable and addresses a real gap, though implementation details are limited.",1957
79,30,Incentivize utility and data center expansion,Bipartisan Policy Center,Think Tank,6.25,6.5,6.0,6.0,6.5,"Incentivizing utility and data center expansion is actionable, addresses infrastructure needs, and is politically plausible.",1835
80,31,Energy Infrastructure Preparation for AI Growth,Federation of American Scientists,Think Tank,6.25,6.5,6.0,6.0,6.5,"Standardized framework for measuring AI energy demand is actionable, addresses a real gap, and is politically feasible.",1092
81,25,Enhanced Computing Infrastructure,HPE,Industry (Other),6.25,6.5,6.0,6.0,6.5,Enhanced computing infrastructure is aligned with IAPS's compute governance focus. Actionable but lacks specifics on implementation.,2323
82,26,Invest in AI-Ready Data Centers,HPE,Industry (Other),6.25,6.5,6.0,6.0,6.5,"Investing in AI-ready data centers is aligned with IAPS priorities. Actionable, but lacks detail on how to ensure alignment with national priorities.",2487
83,26,Promote AI Alignment Research,Wahba Institute for Strategic Competition,Think Tank,6.15,6.5,6.0,6.0,6.0,"Promoting AI alignment research is relevant to IAPS's safety focus. Somewhat generic, but includes specific open-source safety tool initiatives.",324
84,27,Create an AI scholarship-for-service program,Center for Security and Emerging Technology,Think Tank,6.15,6.5,6.0,6.0,6.0,"AI scholarship-for-service program is actionable and supports public-sector AI expertise, a secondary IAPS concern. Specific mechanism (NSF, CyberCorps) is credible.",434
85,28,Expand Public Sector AI Expertise,INCOMPAS,Industry Association,6.15,6.5,6.0,6.0,6.0,"Expanding public-sector AI expertise is important for governance and implementation. Specific programs cited, but overall approach is somewhat generic.",381
86,29,Expand Access to Federal Data,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Expanding access to federal data supports AI innovation and aligns with IAPS's data governance focus. Somewhat generic, but actionable.",677
87,30,Unlock energy capacity for AI infrastructure,Amazon,Frontier Developer,6.15,6.5,6.0,6.0,6.0,Unlocking energy capacity for AI infrastructure is actionable and addresses a real constraint for AI competitiveness. Somewhat self-serving but specific.,994
88,31,Strengthen Electrical Grid and Streamline Energy Infrastructure Permitting,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Strengthening the electrical grid and streamlining permitting is actionable and supports AI infrastructure. Somewhat generic, but addresses a real bottleneck.",1026
89,34,Support AI and Computing at DOE,Federation of American Scientists,Think Tank,6.15,6.5,6.0,6.0,6.0,DOE AI and Computing Lab proposal is actionable and leverages DOE's unique strengths. Somewhat duplicative of other proposals but still relevant.,1027
